Date,投信持股數市值(百萬)
1/5/2021,861.02
1/4/2021,877.42
12/31/2020,886.99
12/30/2020,871.95
12/29/2020,880.15
12/28/2020,885.62
12/25/2020,884.25
12/24/2020,899.29
12/23/2020,884.25
12/22/2020,822.04
12/21/2020,830.21
12/18/2020,842.2
12/17/2020,856.86
12/16/2020,854.2
12/15/2020,832.19
12/14/2020,837.44
12/11/2020,805.56
12/10/2020,849.62
12/9/2020,831.4
12/8/2020,839.25
12/7/2020,839.12
12/4/2020,863.57
12/3/2020,887.2
12/2/2020,"1,067.01"
12/1/2020,"1,135.17"
11/30/2020,"1,158.17"
11/27/2020,"1,178.16"
11/26/2020,"1,190.35"
11/25/2020,"1,195.49"
11/24/2020,"1,207.50"
11/23/2020,"1,226.37"
11/20/2020,"1,193.78"
11/19/2020,"1,180.06"
11/18/2020,"1,197.21"
11/17/2020,"1,173.20"
11/16/2020,"1,178.55"
11/13/2020,"1,210.77"
11/12/2020,"1,191.50"
11/11/2020,"1,215.68"
11/10/2020,"1,219.26"
11/9/2020,"1,233.59"
11/6/2020,"1,244.60"
11/5/2020,"1,218.86"
11/4/2020,"1,235.00"
11/3/2020,"1,201.72"
11/2/2020,"1,190.63"
10/30/2020,"1,183.23"
10/29/2020,"1,201.72"
10/28/2020,"1,220.60"
10/27/2020,"1,260.92"
10/26/2020,"1,233.84"
10/23/2020,"1,294.93"
10/22/2020,"1,261.71"
10/21/2020,"1,270.88"
10/20/2020,"1,273.46"
10/19/2020,"1,238.67"
10/16/2020,"1,205.44"
10/15/2020,"1,194.30"
10/14/2020,"1,260.77"
10/13/2020,"1,230.96"
10/12/2020,"1,172.32"
10/8/2020,"1,187.84"
10/7/2020,"1,192.27"
10/6/2020,"1,139.09"
10/5/2020,"1,144.24"
9/30/2020,"1,118.51"
9/29/2020,"1,153.54"
9/28/2020,"1,203.53"
9/25/2020,"1,222.19"
9/24/2020,"1,278.06"
9/23/2020,"1,350.28"
9/22/2020,"1,286.66"
9/21/2020,"1,335.43"
9/18/2020,"1,292.12"
9/17/2020,"1,301.27"
9/16/2020,"1,286.63"
9/15/2020,"1,222.57"
9/14/2020,"1,286.75"
9/11/2020,"1,295.04"
9/10/2020,"1,353.51"
9/9/2020,"1,382.73"
9/8/2020,"1,344.33"
9/7/2020,"1,305.06"
9/4/2020,"1,343.17"
9/3/2020,"1,343.17"
9/2/2020,"1,395.91"
9/1/2020,"1,390.48"
8/31/2020,"1,361.15"
8/28/2020,"1,212.40"
8/27/2020,"1,158.71"
8/26/2020,"1,181.26"
8/25/2020,"1,179.53"
8/24/2020,"1,068.60"
8/21/2020,"1,051.15"
8/20/2020,"1,067.39"
8/19/2020,"1,133.61"
8/18/2020,"1,286.60"
8/17/2020,"1,402.80"
8/14/2020,"1,343.99"
8/13/2020,"1,222.17"
8/12/2020,"1,083.59"
8/11/2020,931.96
8/10/2020,883.77
8/7/2020,867.04
8/6/2020,795.58
8/5/2020,829.81
8/4/2020,658
8/3/2020,525.7
7/31/2020,521.78
7/30/2020,513.55
7/29/2020,495.83
7/28/2020,406.65
7/27/2020,386.92
7/24/2020,379.18
7/23/2020,394.52
7/22/2020,397.82
7/21/2020,379.44
7/20/2020,377.08
7/17/2020,370.48
7/16/2020,371.9
7/15/2020,375.19
7/14/2020,384.62
7/13/2020,393.58
7/10/2020,393.11
7/9/2020,423.74
7/8/2020,421.86
7/7/2020,413.69
7/6/2020,414.18
7/3/2020,408.61
7/2/2020,403.71
7/1/2020,384.63
6/30/2020,392.46
6/29/2020,369.84
6/24/2020,363.48
6/23/2020,366.9
6/22/2020,363.96
6/19/2020,360.86
6/18/2020,376.12
6/17/2020,310
6/16/2020,213.83
6/15/2020,140.92
6/12/2020,141.56
6/11/2020,143.05
6/10/2020,151.12
6/9/2020,155.8
6/8/2020,95.01
6/5/2020,94.61
6/4/2020,95.54
6/3/2020,93.01
6/2/2020,93.41
6/1/2020,94.61
